	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ESRRA	391.62224131102005	-3.0497254897628703	0.282540847549956	-10.793927731896	3.6772980929673396e-27	4.5120447600709295e-23
PCK2	792.233277233791	-2.96393971922919	0.35217501457192496	-8.41609880482837	3.8922905998750304e-17	2.3879202830233305e-13
SLC1A4	253.50882162736198	-2.74101353529361	0.3393436209068269	-8.07739814872255	6.61632492511219e-16	2.7060768943708905e-12
TRIB3	1932.10456606376	-1.8240662259937501	0.265148103535591	-6.87942399613998	6.009504956616879e-12	1.8434156454422302e-08
PSAT1	6519.184161039379	-1.6110887991454301	0.236959824840985	-6.79899556908673	1.05351057418635e-11	2.5853149490533103e-08
DDIT4	2092.65013032347	-2.04400160553876	0.3057901922894	-6.6843268917019705	2.31988445421677e-11	4.7441637088733e-08
CPA4	749.1701439005819	1.76365084338507	0.26750859529674104	6.5928754230446	4.3138854956719794e-11	7.56162500455646e-08
GPT2	1240.28320487483	-1.6988254166475	0.260258207959704	-6.5274614390280306	6.68937215720388e-11	1.02598245461114e-07
ULBP1	219.99889432063202	-1.98330320748051	0.309643105473167	-6.4051263290678095	1.50244925400503e-10	2.04833914962686e-07
ASNS	174.95824351401401	-2.4859566150482	0.39707376661358096	-6.260692153625571	3.83272478739547e-10	4.7027533141342403e-07
JDP2	248.87161100514498	-1.97118785122282	0.319591810433582	-6.1678296716945304	6.92336615992338e-10	7.72270025293272e-07
IL6R	545.752938693041	1.4889204198871397	0.24408169980281	6.10009034306965	1.0600853220545e-09	1.0839372418007299e-06
SEMA7A	565.502155410854	1.73202644184397	0.285070315068842	6.075786745546299	1.23381289054468e-09	1.1645295513064e-06
KRT80	174.074360559006	2.3091475065935	0.40452010055074294	5.70836283153706	1.14068052233056e-08	9.99725000642569e-06
NR6A1	389.957008177829	1.70203100922747	0.30024890609833005	5.66873342302888	1.43856985458045e-08	1.1767501410467999e-05
BIRC3	261.217824556695	2.19067138908284	0.400309217459469	5.47244803151364	4.43860944741534e-08	3.40385861998664e-05
AMMECR1	887.643073607567	1.19107094861709	0.21880273564489003	5.443583441068849	5.221925539681401e-08	3.55961257621615e-05
SLC43A1	74.9928671038507	-2.88505144296293	0.529024601596248	-5.4535298249982	4.93796593043741e-08	3.55961257621615e-05
PDGFB	216.59449653573998	1.72375782395155	0.31835814489429304	5.414524024582129	6.14519524796667e-08	3.96850240487111e-05
LRATD2	838.945386393449	-1.21204489198961	0.225348649045186	-5.3785318754965195	7.50956879198453e-08	4.6071204538825106e-05
PHGDH	3003.608420665	-1.49890801868642	0.289537852772901	-5.1768983030418605	2.25605109634897e-07	0.00013181784262953302
STC2	1387.92866160991	-1.1504473886743	0.224504912876718	-5.12437511470425	2.98526135471638e-07	0.00015899223245038001
